speaker,condition,split,source_file,fragment_id,position_index,vad_region_index,start_sample,end_sample,start_time,end_time,duration,true_length,padded_length,padding_ratio,raw_file,tensor_file,total_fragments,relative_position
s1,clean,train,s1_clean_03.wav,2,2,0,12544,16000,0.784,1.0,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_002.npy,6,0.4
s1,clean,train,s1_clean_03.wav,3,3,0,16000,17920,1.0,1.12,0.12,1920,6336,0.696969696969697,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_003.npy,6,0.6
s1,clean,train,s1_clean_03.wav,4,4,0,17920,21632,1.12,1.352,0.232,3712,6336,0.41414141414141414,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_004.npy,6,0.8
s1,clean,train,s1_clean_03.wav,5,5,0,21632,26624,1.352,1.664,0.312,4992,6336,0.21212121212121215,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_005.npy,6,1.0
s1,clean,train,s1_clean_04.wav,0,0,0,3072,6016,0.192,0.376,0.184,2944,6336,0.5353535353535354,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_000.npy,6,0.0
s1,clean,train,s1_clean_04.wav,1,1,0,6016,8448,0.376,0.528,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_001.npy,6,0.2
s1,clean,train,s1_clean_04.wav,2,2,0,8448,11904,0.528,0.744,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_002.npy,6,0.4
s1,clean,train,s1_clean_04.wav,3,3,0,11904,19968,0.744,1.248,0.504,8064,6336,-0.2727272727272727,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_003.npy,6,0.6
s1,clean,train,s1_clean_04.wav,4,4,1,20480,23936,1.28,1.496,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_004.npy,6,0.8
s1,clean,train,s1_clean_04.wav,5,5,1,23936,29184,1.496,1.824,0.328,5248,6336,0.1717171717171717,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_005.npy,6,1.0
s1,clean,train,s1_clean_05.wav,0,0,0,7168,9216,0.448,0.576,0.128,2048,6336,0.6767676767676767,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_000.npy,7,0.0
s1,clean,train,s1_clean_05.wav,1,1,0,9216,12672,0.576,0.792,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_001.npy,7,0.16666666666666666
s1,clean,train,s1_clean_05.wav,2,2,0,12672,15872,0.792,0.992,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_002.npy,7,0.3333333333333333
s1,clean,train,s1_clean_05.wav,3,3,0,15872,18048,0.992,1.128,0.136,2176,6336,0.6565656565656566,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_003.npy,7,0.5
s1,clean,train,s1_clean_05.wav,4,4,0,18048,21120,1.128,1.32,0.192,3072,6336,0.5151515151515151,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_004.npy,7,0.6666666666666666
s1,clean,train,s1_clean_05.wav,5,5,0,21120,24064,1.32,1.504,0.184,2944,6336,0.5353535353535354,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_005.npy,7,0.8333333333333334
s1,clean,train,s1_clean_05.wav,6,6,0,24064,30720,1.504,1.92,0.416,6656,6336,-0.05050505050505061,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_006.npy,7,1.0
s1,clean,train,s1_clean_06.wav,0,0,0,5120,7808,0.32,0.488,0.168,2688,6336,0.5757575757575757,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_000.npy,8,0.0
s1,clean,train,s1_clean_06.wav,1,1,0,7808,10240,0.488,0.64,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_001.npy,8,0.14285714285714285
s1,clean,train,s1_clean_06.wav,2,2,0,10240,12032,0.64,0.752,0.112,1792,6336,0.7171717171717171,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_002.npy,8,0.2857142857142857
s1,clean,train,s1_clean_06.wav,3,3,0,12032,14848,0.752,0.928,0.176,2816,6336,0.5555555555555556,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_003.npy,8,0.42857142857142855
s1,clean,train,s1_clean_06.wav,4,4,0,14848,17152,0.928,1.072,0.144,2304,6336,0.6363636363636364,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_004.npy,8,0.5714285714285714
s1,clean,train,s1_clean_06.wav,5,5,0,17152,20736,1.072,1.296,0.224,3584,6336,0.43434343434343436,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_005.npy,8,0.7142857142857143
s1,clean,train,s1_clean_06.wav,6,6,0,20736,22784,1.296,1.424,0.128,2048,6336,0.6767676767676767,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_006.npy,8,0.8571428571428571
s1,clean,train,s1_clean_06.wav,7,7,0,22784,27648,1.424,1.728,0.304,4864,6336,0.23232323232323238,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_007.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_007.npy,8,1.0
s1,clean,train,s1_clean_07.wav,0,0,0,7168,9472,0.448,0.592,0.144,2304,6336,0.6363636363636364,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\padded\fragment_000.npy,6,0.0
s1,clean,train,s1_clean_07.wav,1,1,0,9472,13440,0.592,0.84,0.248,3968,6336,0.3737373737373737,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\padded\fragment_001.npy,6,0.2
s1,clean,train,s1_clean_07.wav,2,2,0,13440,15616,0.84,0.976,0.136,2176,6336,0.6565656565656566,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\padded\fragment_002.npy,6,0.4
s1,clean,train,s1_clean_07.wav,3,3,0,15616,18560,0.976,1.16,0.184,2944,6336,0.5353535353535354,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\padded\fragment_003.npy,6,0.6
s1,clean,train,s1_clean_07.wav,4,4,0,18560,20992,1.16,1.312,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\padded\fragment_004.npy,6,0.8
s1,clean,train,s1_clean_07.wav,5,5,0,20992,28288,1.312,1.768,0.456,7296,6336,-0.1515151515151516,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_07\padded\fragment_005.npy,6,1.0
s1,clean,train,s1_clean_08.wav,0,0,0,5632,11648,0.352,0.728,0.376,6016,6336,0.0505050505050505,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\padded\fragment_000.npy,6,0.0
s1,clean,train,s1_clean_08.wav,1,1,0,11648,14976,0.728,0.936,0.208,3328,6336,0.4747474747474747,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\padded\fragment_001.npy,6,0.2
s1,clean,train,s1_clean_08.wav,2,2,0,14976,19328,0.936,1.208,0.272,4352,6336,0.31313131313131315,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\padded\fragment_002.npy,6,0.4
s1,clean,train,s1_clean_08.wav,3,3,0,19328,22144,1.208,1.384,0.176,2816,6336,0.5555555555555556,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\padded\fragment_003.npy,6,0.6
s1,clean,train,s1_clean_08.wav,4,4,0,22144,25088,1.384,1.568,0.184,2944,6336,0.5353535353535354,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\padded\fragment_004.npy,6,0.8
s1,clean,train,s1_clean_08.wav,5,5,0,25088,31232,1.568,1.952,0.384,6144,6336,0.030303030303030276,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_08\padded\fragment_005.npy,6,1.0
s1,noisy,train,s1_noisy_01.wav,0,0,0,2560,6144,0.16,0.384,0.224,3584,6336,0.43434343434343436,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_000.npy,10,0.0
s1,noisy,train,s1_noisy_01.wav,1,1,0,6144,11520,0.384,0.72,0.336,5376,6336,0.1515151515151515,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_001.npy,10,0.1111111111111111
s1,noisy,train,s1_noisy_01.wav,2,2,0,11520,13056,0.72,0.816,0.096,1536,6336,0.7575757575757576,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_002.npy,10,0.2222222222222222
s1,noisy,train,s1_noisy_01.wav,3,3,0,13056,14720,0.816,0.92,0.104,1664,6336,0.7373737373737373,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_003.npy,10,0.3333333333333333
s1,noisy,train,s1_noisy_01.wav,4,4,0,14720,19840,0.92,1.24,0.32,5120,6336,0.19191919191919193,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_004.npy,10,0.4444444444444444
s1,noisy,train,s1_noisy_01.wav,5,5,0,19840,21376,1.24,1.336,0.096,1536,6336,0.7575757575757576,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_005.npy,10,0.5555555555555556
s1,noisy,train,s1_noisy_01.wav,6,6,0,21376,27648,1.336,1.728,0.392,6272,6336,0.010101010101010055,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_006.npy,10,0.6666666666666666
s1,noisy,train,s1_noisy_01.wav,7,7,0,27648,31360,1.728,1.96,0.232,3712,6336,0.41414141414141414,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_007.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_007.npy,10,0.7777777777777778
s1,noisy,train,s1_noisy_01.wav,8,8,0,31360,34048,1.96,2.128,0.168,2688,6336,0.5757575757575757,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_008.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_008.npy,10,0.8888888888888888
s1,noisy,train,s1_noisy_01.wav,9,9,0,34048,35840,2.128,2.24,0.112,1792,6336,0.7171717171717171,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\raw\fragment_009.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_01\padded\fragment_009.npy,10,1.0
s1,noisy,train,s1_noisy_02.wav,0,0,0,2048,8192,0.128,0.512,0.384,6144,6336,0.030303030303030276,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_000.npy,9,0.0
s1,noisy,train,s1_noisy_02.wav,1,1,0,8192,10624,0.512,0.664,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_001.npy,9,0.125
s1,noisy,train,s1_noisy_02.wav,2,2,0,10624,13312,0.664,0.832,0.168,2688,6336,0.5757575757575757,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_002.npy,9,0.25
s1,noisy,train,s1_noisy_02.wav,3,3,0,13312,18432,0.832,1.152,0.32,5120,6336,0.19191919191919193,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_003.npy,9,0.375
s1,noisy,train,s1_noisy_02.wav,4,4,0,18432,20608,1.152,1.288,0.136,2176,6336,0.6565656565656566,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_004.npy,9,0.5
s1,noisy,train,s1_noisy_02.wav,5,5,0,20608,27264,1.288,1.704,0.416,6656,6336,-0.05050505050505061,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_005.npy,9,0.625
s1,noisy,train,s1_noisy_02.wav,6,6,0,27264,29440,1.704,1.84,0.136,2176,6336,0.6565656565656566,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_006.npy,9,0.75
s1,noisy,train,s1_noisy_02.wav,7,7,0,29440,31232,1.84,1.952,0.112,1792,6336,0.7171717171717171,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_007.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_007.npy,9,0.875
s1,noisy,train,s1_noisy_02.wav,8,8,0,31232,32768,1.952,2.048,0.096,1536,6336,0.7575757575757576,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\raw\fragment_008.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_02\padded\fragment_008.npy,9,1.0
s1,noisy,train,s1_noisy_03.wav,0,0,0,2048,6656,0.128,0.416,0.288,4608,6336,0.2727272727272727,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\padded\fragment_000.npy,9,0.0
s1,noisy,train,s1_noisy_03.wav,1,1,0,6656,10368,0.416,0.648,0.232,3712,6336,0.41414141414141414,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\padded\fragment_001.npy,9,0.125
s1,noisy,train,s1_noisy_03.wav,2,2,0,10368,15488,0.648,0.968,0.32,5120,6336,0.19191919191919193,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\padded\fragment_002.npy,9,0.25
s1,noisy,train,s1_noisy_03.wav,3,3,0,15488,18944,0.968,1.184,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_noisy_03\padded\fragment_003.npy,9,0.375
