speaker,condition,split,source_file,fragment_id,position_index,vad_region_index,start_sample,end_sample,start_time,end_time,duration,true_length,padded_length,padding_ratio,raw_file,tensor_file,total_fragments,relative_position,magnitude_shape,phase_shape,phase_sin_shape,phase_cos_shape,if_shape,modgd_shape,logmel_shape,mr_mag_256_shape,mr_phase_256_shape,mr_mag_512_shape,mr_phase_512_shape,mr_mag_1024_shape,mr_phase_1024_shape,available_features,sample_rate
s1,clean,train,s1_clean_02.wav,4,4,0,16000,19200,1.0,1.2,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_004.npy,7,0.6666666666666666,"[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[80, 51]","[129, 101]","[129, 101]","[257, 51]","[257, 51]","[513, 26]","[513, 26]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_02.wav,5,5,0,19200,21248,1.2,1.328,0.128,2048,6336,0.6767676767676767,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_005.npy,7,0.8333333333333334,"[513, 33]","[513, 33]","[513, 33]","[513, 33]","[513, 33]","[513, 33]","[80, 33]","[129, 65]","[129, 65]","[257, 33]","[257, 33]","[513, 17]","[513, 17]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,val,s1_clean_02.wav,6,6,0,21248,26880,1.328,1.68,0.352,5632,6336,0.1111111111111111,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_02\padded\fragment_006.npy,7,1.0,"[513, 89]","[513, 89]","[513, 89]","[513, 89]","[513, 89]","[513, 89]","[80, 89]","[129, 177]","[129, 177]","[257, 89]","[257, 89]","[513, 45]","[513, 45]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,val,s1_clean_03.wav,0,0,0,6144,9344,0.384,0.584,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_000.npy,6,0.0,"[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[80, 51]","[129, 101]","[129, 101]","[257, 51]","[257, 51]","[513, 26]","[513, 26]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_03.wav,1,1,0,9344,12544,0.584,0.784,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_001.npy,6,0.2,"[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[80, 51]","[129, 101]","[129, 101]","[257, 51]","[257, 51]","[513, 26]","[513, 26]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_03.wav,2,2,0,12544,16000,0.784,1.0,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_002.npy,6,0.4,"[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[80, 55]","[129, 109]","[129, 109]","[257, 55]","[257, 55]","[513, 28]","[513, 28]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_03.wav,3,3,0,16000,17920,1.0,1.12,0.12,1920,6336,0.696969696969697,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_003.npy,6,0.6,"[513, 31]","[513, 31]","[513, 31]","[513, 31]","[513, 31]","[513, 31]","[80, 31]","[129, 61]","[129, 61]","[257, 31]","[257, 31]","[513, 16]","[513, 16]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_03.wav,4,4,0,17920,21632,1.12,1.352,0.232,3712,6336,0.4141414141414141,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_004.npy,6,0.8,"[513, 59]","[513, 59]","[513, 59]","[513, 59]","[513, 59]","[513, 59]","[80, 59]","[129, 117]","[129, 117]","[257, 59]","[257, 59]","[513, 30]","[513, 30]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_03.wav,5,5,0,21632,26624,1.352,1.664,0.312,4992,6336,0.2121212121212121,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_03\padded\fragment_005.npy,6,1.0,"[513, 79]","[513, 79]","[513, 79]","[513, 79]","[513, 79]","[513, 79]","[80, 79]","[129, 157]","[129, 157]","[257, 79]","[257, 79]","[513, 40]","[513, 40]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_04.wav,0,0,0,3072,6016,0.192,0.376,0.184,2944,6336,0.5353535353535354,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_000.npy,6,0.0,"[513, 47]","[513, 47]","[513, 47]","[513, 47]","[513, 47]","[513, 47]","[80, 47]","[129, 93]","[129, 93]","[257, 47]","[257, 47]","[513, 24]","[513, 24]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_04.wav,1,1,0,6016,8448,0.376,0.528,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_001.npy,6,0.2,"[513, 39]","[513, 39]","[513, 39]","[513, 39]","[513, 39]","[513, 39]","[80, 39]","[129, 77]","[129, 77]","[257, 39]","[257, 39]","[513, 20]","[513, 20]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_04.wav,2,2,0,8448,11904,0.528,0.744,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_002.npy,6,0.4,"[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[80, 55]","[129, 109]","[129, 109]","[257, 55]","[257, 55]","[513, 28]","[513, 28]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_04.wav,3,3,0,11904,19968,0.744,1.248,0.504,8064,6336,-0.2727272727272727,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_003.npy,6,0.6,"[513, 127]","[513, 127]","[513, 127]","[513, 127]","[513, 127]","[513, 127]","[80, 127]","[129, 253]","[129, 253]","[257, 127]","[257, 127]","[513, 64]","[513, 64]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_04.wav,4,4,1,20480,23936,1.28,1.496,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_004.npy,6,0.8,"[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[80, 55]","[129, 109]","[129, 109]","[257, 55]","[257, 55]","[513, 28]","[513, 28]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_04.wav,5,5,1,23936,29184,1.496,1.824,0.328,5248,6336,0.1717171717171717,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_04\padded\fragment_005.npy,6,1.0,"[513, 83]","[513, 83]","[513, 83]","[513, 83]","[513, 83]","[513, 83]","[80, 83]","[129, 165]","[129, 165]","[257, 83]","[257, 83]","[513, 42]","[513, 42]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_05.wav,0,0,0,7168,9216,0.448,0.576,0.128,2048,6336,0.6767676767676767,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_000.npy,7,0.0,"[513, 33]","[513, 33]","[513, 33]","[513, 33]","[513, 33]","[513, 33]","[80, 33]","[129, 65]","[129, 65]","[257, 33]","[257, 33]","[513, 17]","[513, 17]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_05.wav,1,1,0,9216,12672,0.576,0.792,0.216,3456,6336,0.4545454545454546,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_001.npy,7,0.1666666666666666,"[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[513, 55]","[80, 55]","[129, 109]","[129, 109]","[257, 55]","[257, 55]","[513, 28]","[513, 28]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_05.wav,2,2,0,12672,15872,0.792,0.992,0.2,3200,6336,0.4949494949494949,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_002.npy,7,0.3333333333333333,"[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[513, 51]","[80, 51]","[129, 101]","[129, 101]","[257, 51]","[257, 51]","[513, 26]","[513, 26]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_05.wav,3,3,0,15872,18048,0.992,1.128,0.136,2176,6336,0.6565656565656566,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_003.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_003.npy,7,0.5,"[513, 35]","[513, 35]","[513, 35]","[513, 35]","[513, 35]","[513, 35]","[80, 35]","[129, 69]","[129, 69]","[257, 35]","[257, 35]","[513, 18]","[513, 18]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_05.wav,4,4,0,18048,21120,1.128,1.32,0.192,3072,6336,0.5151515151515151,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_004.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_004.npy,7,0.6666666666666666,"[513, 49]","[513, 49]","[513, 49]","[513, 49]","[513, 49]","[513, 49]","[80, 49]","[129, 97]","[129, 97]","[257, 49]","[257, 49]","[513, 25]","[513, 25]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_05.wav,5,5,0,21120,24064,1.32,1.504,0.184,2944,6336,0.5353535353535354,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_005.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_005.npy,7,0.8333333333333334,"[513, 47]","[513, 47]","[513, 47]","[513, 47]","[513, 47]","[513, 47]","[80, 47]","[129, 93]","[129, 93]","[257, 47]","[257, 47]","[513, 24]","[513, 24]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,val,s1_clean_05.wav,6,6,0,24064,30720,1.504,1.92,0.416,6656,6336,-0.0505050505050506,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\raw\fragment_006.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_05\padded\fragment_006.npy,7,1.0,"[513, 105]","[513, 105]","[513, 105]","[513, 105]","[513, 105]","[513, 105]","[80, 105]","[129, 209]","[129, 209]","[257, 105]","[257, 105]","[513, 53]","[513, 53]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_06.wav,0,0,0,5120,7808,0.32,0.488,0.168,2688,6336,0.5757575757575757,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_000.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_000.npy,8,0.0,"[513, 43]","[513, 43]","[513, 43]","[513, 43]","[513, 43]","[513, 43]","[80, 43]","[129, 85]","[129, 85]","[257, 43]","[257, 43]","[513, 22]","[513, 22]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,train,s1_clean_06.wav,1,1,0,7808,10240,0.488,0.64,0.152,2432,6336,0.6161616161616161,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_001.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_001.npy,8,0.1428571428571428,"[513, 39]","[513, 39]","[513, 39]","[513, 39]","[513, 39]","[513, 39]","[80, 39]","[129, 77]","[129, 77]","[257, 39]","[257, 39]","[513, 20]","[513, 20]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
s1,clean,val,s1_clean_06.wav,2,2,0,10240,12032,0.64,0.752,0.112,1792,6336,0.7171717171717171,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\raw\fragment_002.wav,d:\IITG\Projects\audio_factor_disentanglement_v2\data\fragments\speaker_1\s1_clean_06\padded\fragment_002.npy,8,0.2857142857142857,"[513, 29]","[513, 29]","[513, 29]","[513, 29]","[513, 29]","[513, 29]","[80, 29]","[129, 57]","[129, 57]","[257, 29]","[257, 29]","[513, 15]","[513, 15]","['if', 'logmel', 'magnitude', 'modgd', 'mr_mag_1024', 'mr_mag_256', 'mr_mag_512', 'mr_phase_1024', 'mr_phase_256', 'mr_phase_512', 'phase', 'phase_cos', 'phase_sin']",16000
